crisno,year,crisname,statea,namea,actnuma,stateb,nameb,actnumb,trgyrdy,trgmody,trgdady,trmyrdy,trmmody,trmdady,ongoing,crdynum
88,1941,PEARL HARBOR,42,DOM,9999,325,ITA,227,1941,12,8,1942,2,15,0,212
88,1942,PEARL HARBOR,42,DOM,9999,325,ITA,227,1941,12,8,1942,2,15,1,212
88,1941,PEARL HARBOR,42,DOM,9999,740,JAP,218,1941,11,26,1942,2,15,0,213
88,1942,PEARL HARBOR,42,DOM,9999,740,JAP,218,1941,11,26,1942,2,15,1,213
88,1941,PEARL HARBOR,90,GUA,9999,255,GER,226,1941,12,8,1942,2,15,0,214
88,1942,PEARL HARBOR,90,GUA,9999,255,GER,226,1941,12,8,1942,2,15,1,214
88,1941,PEARL HARBOR,90,GUA,9999,325,ITA,227,1941,12,8,1942,2,15,0,215
88,1942,PEARL HARBOR,90,GUA,9999,325,ITA,227,1941,12,8,1942,2,15,1,215
88,1941,PEARL HARBOR,90,GUA,9999,740,JAP,218,1941,11,26,1942,2,15,0,216
88,1942,PEARL HARBOR,90,GUA,9999,740,JAP,218,1941,11,26,1942,2,15,1,216
88,1941,PEARL HARBOR,91,HON,9999,255,GER,226,1941,12,8,1942,2,15,0,217
88,1942,PEARL HARBOR,91,HON,9999,255,GER,226,1941,12,8,1942,2,15,1,217
88,1941,PEARL HARBOR,91,HON,9999,325,ITA,227,1941,12,8,1942,2,15,0,218
88,1942,PEARL HARBOR,91,HON,9999,325,ITA,227,1941,12,8,1942,2,15,1,218
88,1941,PEARL HARBOR,91,HON,9999,740,JAP,218,1941,11,26,1942,2,15,0,219
88,1942,PEARL HARBOR,91,HON,9999,740,JAP,218,1941,11,26,1942,2,15,1,219
88,1941,PEARL HARBOR,92,SAL,9999,255,GER,226,1941,12,8,1942,2,15,0,220
88,1942,PEARL HARBOR,92,SAL,9999,255,GER,226,1941,12,8,1942,2,15,1,220
88,1941,PEARL HARBOR,92,SAL,9999,325,ITA,227,1941,12,8,1942,2,15,0,221
88,1942,PEARL HARBOR,92,SAL,9999,325,ITA,227,1941,12,8,1942,2,15,1,221
88,1941,PEARL HARBOR,92,SAL,9999,740,JAP,218,1941,11,26,1942,2,15,0,222
88,1942,PEARL HARBOR,92,SAL,9999,740,JAP,218,1941,11,26,1942,2,15,1,222
88,1941,PEARL HARBOR,93,NIC,9999,255,GER,226,1941,12,8,1942,2,15,0,223
88,1942,PEARL HARBOR,93,NIC,9999,255,GER,226,1941,12,8,1942,2,15,1,223
88,1941,PEARL HARBOR,93,NIC,9999,325,ITA,227,1941,12,8,1942,2,15,0,224
88,1942,PEARL HARBOR,93,NIC,9999,325,ITA,227,1941,12,8,1942,2,15,1,224
88,1941,PEARL HARBOR,93,NIC,9999,740,JAP,218,1941,11,26,1942,2,15,0,225
88,1942,PEARL HARBOR,93,NIC,9999,740,JAP,218,1941,11,26,1942,2,15,1,225
88,1941,PEARL HARBOR,94,COS,9999,255,GER,226,1941,12,8,1942,2,15,0,226
88,1942,PEARL HARBOR,94,COS,9999,255,GER,226,1941,12,8,1942,2,15,1,226
88,1941,PEARL HARBOR,94,COS,9999,325,ITA,227,1941,12,8,1942,2,15,0,227
88,1942,PEARL HARBOR,94,COS,9999,325,ITA,227,1941,12,8,1942,2,15,1,227
88,1941,PEARL HARBOR,94,COS,9999,740,JAP,218,1941,11,26,1942,2,15,0,228
88,1942,PEARL HARBOR,94,COS,9999,740,JAP,218,1941,11,26,1942,2,15,1,228
88,1941,PEARL HARBOR,95,PAN,9999,255,GER,226,1941,12,8,1942,2,15,0,229
88,1942,PEARL HARBOR,95,PAN,9999,255,GER,226,1941,12,8,1942,2,15,1,229
88,1941,PEARL HARBOR,95,PAN,9999,325,ITA,227,1941,12,8,1942,2,15,0,230
88,1942,PEARL HARBOR,95,PAN,9999,325,ITA,227,1941,12,8,1942,2,15,1,230
88,1941,PEARL HARBOR,95,PAN,9999,740,JAP,218,1941,11,26,1942,2,15,0,231
88,1942,PEARL HARBOR,95,PAN,9999,740,JAP,218,1941,11,26,1942,2,15,1,231
88,1941,PEARL HARBOR,200,UNK,219,255,GER,226,1941,12,7,1942,2,15,0,232
88,1942,PEARL HARBOR,200,UNK,219,255,GER,226,1941,12,7,1942,2,15,1,232
88,1941,PEARL HARBOR,200,UNK,219,325,ITA,227,1941,12,7,1942,2,15,0,233
88,1942,PEARL HARBOR,200,UNK,219,325,ITA,227,1941,12,7,1942,2,15,1,233
88,1941,PEARL HARBOR,200,UNK,219,740,JAP,218,1941,11,26,1942,2,15,0,234
88,1942,PEARL HARBOR,200,UNK,219,740,JAP,218,1941,11,26,1942,2,15,1,234
88,1941,PEARL HARBOR,210,NTH,220,255,GER,226,1941,12,7,1942,2,15,0,235
88,1942,PEARL HARBOR,210,NTH,220,255,GER,226,1941,12,7,1942,2,15,1,235
88,1941,PEARL HARBOR,210,NTH,220,325,ITA,227,1941,12,7,1942,2,15,0,236
88,1942,PEARL HARBOR,210,NTH,220,325,ITA,227,1941,12,7,1942,2,15,1,236
88,1941,PEARL HARBOR,210,NTH,220,740,JAP,218,1941,11,26,1942,2,15,0,237
88,1942,PEARL HARBOR,210,NTH,220,740,JAP,218,1941,11,26,1942,2,15,1,237
88,1941,PEARL HARBOR,255,GER,226,900,AUL,221,1941,12,7,1942,2,15,0,238
88,1942,PEARL HARBOR,255,GER,226,900,AUL,221,1941,12,7,1942,2,15,1,238
88,1941,PEARL HARBOR,255,GER,226,920,NEW,222,1941,12,7,1942,2,15,0,239
88,1942,PEARL HARBOR,255,GER,226,920,NEW,222,1941,12,7,1942,2,15,1,239
88,1941,PEARL HARBOR,325,ITA,227,900,AUL,221,1941,12,7,1942,2,15,0,240
88,1942,PEARL HARBOR,325,ITA,227,900,AUL,221,1941,12,7,1942,2,15,1,240
88,1941,PEARL HARBOR,325,ITA,227,920,NEW,222,1941,12,7,1942,2,15,0,241
88,1942,PEARL HARBOR,325,ITA,227,920,NEW,222,1941,12,7,1942,2,15,1,241
88,1941,PEARL HARBOR,560,SAF,9999,740,JAP,218,1941,11,26,1942,2,15,0,242
88,1942,PEARL HARBOR,560,SAF,9999,740,JAP,218,1941,11,26,1942,2,15,1,242
88,1941,PEARL HARBOR,740,JAP,218,800,TAI,225,1941,11,26,1941,12,10,0,243
88,1941,PEARL HARBOR,740,JAP,218,900,AUL,221,1941,11,26,1942,2,15,0,244
88,1942,PEARL HARBOR,740,JAP,218,900,AUL,221,1941,11,26,1942,2,15,1,244
88,1941,PEARL HARBOR,740,JAP,218,920,NEW,222,1941,11,26,1942,2,15,0,245
88,1942,PEARL HARBOR,740,JAP,218,920,NEW,222,1941,11,26,1942,2,15,1,245
89,1942,STALINGRAD,255,GER,229,365,USR,228,1942,6,28,1943,2,2,0,246
89,1943,STALINGRAD,255,GER,229,365,USR,228,1942,6,28,1943,2,2,1,246
89,1942,STALINGRAD,355,BUL,9999,365,USR,228,1942,6,28,1943,2,2,0,247
89,1943,STALINGRAD,355,BUL,9999,365,USR,228,1942,6,28,1943,2,2,1,247
89,1942,STALINGRAD,360,RUM,9999,365,USR,228,1942,6,28,1943,2,2,0,248
89,1943,STALINGRAD,360,RUM,9999,365,USR,228,1942,6,28,1943,2,2,1,248
89,1942,STALINGRAD,365,USR,228,375,FIN,9999,1942,6,28,1943,2,2,0,249
89,1943,STALINGRAD,365,USR,228,375,FIN,9999,1942,6,28,1943,2,2,1,249
90,1942,EL ALAMEIN,200,UNK,9999,255,GER,230,1942,10,23,1943,5,13,0,250
90,1943,EL ALAMEIN,200,UNK,9999,255,GER,230,1942,10,23,1943,5,13,1,250
90,1942,EL ALAMEIN,200,UNK,9999,325,ITA,231,1942,10,23,1943,5,13,0,251
90,1943,EL ALAMEIN,200,UNK,9999,325,ITA,231,1942,10,23,1943,5,13,1,251
90,1942,EL ALAMEIN,255,GER,230,560,SAF,9999,1942,10,23,1943,5,13,0,252
90,1943,EL ALAMEIN,255,GER,230,560,SAF,9999,1942,10,23,1943,5,13,1,252
90,1942,EL ALAMEIN,325,ITA,231,560,SAF,9999,1942,10,23,1943,5,13,0,253
90,1943,EL ALAMEIN,325,ITA,231,560,SAF,9999,1942,10,23,1943,5,13,1,253
91,1943,FALL OF ITALY,2,USA,9999,255,GER,233,1943,7,25,1943,9,11,0,254
91,1943,FALL OF ITALY,2,USA,9999,325,ITA,232,1943,7,9,1943,9,8,0,255
91,1943,FALL OF ITALY,20,CAN,9999,255,GER,233,1943,7,25,1943,9,11,0,256
91,1943,FALL OF ITALY,20,CAN,9999,325,ITA,232,1943,7,9,1943,9,8,0,257
91,1943,FALL OF ITALY,200,UNK,9999,255,GER,233,1943,7,25,1943,9,11,0,258
91,1943,FALL OF ITALY,200,UNK,9999,325,ITA,232,1943,7,9,1943,9,8,0,259
91,1943,FALL OF ITALY,255,GER,233,325,ITA,232,1943,7,9,1943,9,8,0,260
92,1944,GERMAN OCCUP.-HUNGARY,255,GER,9999,310,HUN,234,1944,3,13,1944,3,19,0,261
93,1944,SOVIET OCCUP.-E. EUROPE,255,GER,238,355,BUL,9999,1944,10,15,1945,2,13,0,262
93,1945,SOVIET OCCUP.-E. EUROPE,255,GER,238,355,BUL,9999,1944,10,15,1945,2,13,1,262
93,1944,SOVIET OCCUP.-E. EUROPE,255,GER,236,365,USR,9999,1944,8,23,1944,9,22,0,263
93,1944,SOVIET OCCUP.-E. EUROPE,255,GER,238,365,USR,9999,1944,10,15,1945,2,13,0,264
93,1945,SOVIET OCCUP.-E. EUROPE,255,GER,238,365,USR,9999,1944,10,15,1945,2,13,1,264
93,1944,SOVIET OCCUP.-E. EUROPE,310,HUN,237,360,ROM,9999,1944,9,22,1945,2,13,0,265
93,1945,SOVIET OCCUP.-E. EUROPE,310,HUN,237,360,ROM,9999,1944,9,22,1945,2,13,1,265
93,1944,SOVIET OCCUP.-E. EUROPE,310,HUN,237,365,USR,9999,1944,9,22,1945,2,13,0,266
93,1945,SOVIET OCCUP.-E. EUROPE,310,HUN,237,365,USR,9999,1944,9,22,1945,2,13,1,266
93,1944,SOVIET OCCUP.-E. EUROPE,360,ROM,235,365,USR,9999,1944,3,26,1944,9,12,0,267
94,1944,D-DAY,2,USA,9999,255,GER,239,1944,6,6,1945,5,7,0,268
94,1945,D-DAY,2,USA,9999,255,GER,239,1944,6,6,1945,5,7,1,268
94,1944,D-DAY,20,CAN,9999,255,GER,239,1944,6,6,1945,5,7,0,269
94,1945,D-DAY,20,CAN,9999,255,GER,239,1944,6,6,1945,5,7,1,269
94,1944,D-DAY,140,BRA,9999,255,GER,239,1944,6,6,1945,5,7,0,270
94,1945,D-DAY,140,BRA,9999,255,GER,239,1944,6,6,1945,5,7,1,270
94,1944,D-DAY,200,UNK,9999,255,GER,239,1944,6,6,1945,5,7,0,271
94,1945,D-DAY,200,UNK,9999,255,GER,239,1944,6,6,1945,5,7,1,271
95,1944,FALL OF SAIPAN,2,USA,9999,740,JAP,240,1944,7,9,1944,7,18,0,272
96,1944,IRAN OIL CONCESSIONS,365,USR,9999,630,IRN,241,1944,9,26,1944,12,9,0,273
97,1944,LEYTE CAMPAIGN,2,USA,9999,740,JAP,242,1944,10,20,1944,12,26,0,274
99,1945,LUZON,2,USA,9999,740,JAP,244,1945,1,9,1945,3,3,0,275
100,1945,FINAL SOVIET OFFENSIVE,255,GER,245,365,USR,9999,1945,1,11,1945,5,7,0,276
100,1945,FINAL SOVIET OFFENSIVE,255,GER,245,375,FIN,9999,1945,1,11,1945,5,7,0,277
101,1945,IWO JIMA,2,USA,9999,740,JAP,246,1945,2,19,1945,3,16,0,278
102,1945,COMMUNISM IN ROMANIA,360,RUM,248,365,USR,247,1945,2,24,1945,3,6,0,279
103,1945,OKINAWA,2,USA,9999,740,JAP,249,1945,4,1,1945,6,21,0,280
104,1945,TRIESTE I,2,USA,251,345,YUG,252,1945,5,2,1945,6,9,0,281
104,1945,TRIESTE I,200,UNK,250,345,YUG,252,1945,5,1,1945,6,9,0,282
105,1945,FRENCH FORCES/SYRIA,200,UNK,9999,220,FRN,254,1945,5,28,1945,6,3,0,283
106,1945,KARS-ARDAHAN,365,USR,9999,640,TUR,255,1945,6,7,1946,4,5,0,284
106,1946,KARS-ARDAHAN,365,USR,9999,640,TUR,255,1945,6,7,1946,4,5,1,284
107,1945,HIROSHIMA-NAGASAKI,2,USA,9999,740,JAP,256,1945,8,6,1945,9,2,0,285
107,1945,HIROSHIMA-NAGASAKI,365,USR,9999,740,JAP,256,1945,8,6,1945,9,2,0,286
107,1945,HIROSHIMA-NAGASAKI,712,MON,9999,740,JAP,256,1945,8,6,1945,9,2,0,287
108,1946,AZERBAIJAN,2,USA,259,365,USR,260,1946,3,4,1946,5,9,0,288
108,1946,AZERBAIJAN,200,UNK,258,365,USR,260,1945,11,16,1946,5,9,0,289
108,1946,AZERBAIJAN,365,USR,260,630,IRN,257,1945,8,23,1946,5,9,0,290
109,1945,INDONESIA INDEP. I,200,UNK,9999,850,INS,262,1945,10,2,1947,3,25,0,291
109,1946,INDONESIA INDEP. I,200,UNK,9999,850,INS,262,1945,10,2,1947,3,25,1,291
109,1947,INDONESIA INDEP. I,200,UNK,9999,850,INS,262,1945,10,2,1947,3,25,1,291
109,1945,INDONESIA INDEP. I,210,NTH,261,850,INS,262,1945,9,29,1947,3,25,0,292
109,1946,INDONESIA INDEP. I,210,NTH,261,850,INS,262,1945,9,29,1947,3,25,1,292
109,1947,INDONESIA INDEP. I,210,NTH,261,850,INS,262,1945,9,29,1947,3,25,1,292
111,1946,TURKISH STRAITS,2,USA,265,365,USR,9999,1946,8,7,1946,10,26,0,293
111,1946,TURKISH STRAITS,365,USR,9999,640,TUR,264,1946,8,7,1946,10,26,0,294
113,1947,COMMUNISM IN HUNGARY,310,HUN,268,365,USR,267,1947,2,10,1947,6,1,0,295
115,1947,MARSHALL PLAN,315,CZE,273,365,USR,272,1947,7,3,1947,7,11,0,296
116,1947,INDONESIA INDEP. II,210,NTH,275,850,INS,274,1947,7,21,1948,1,17,0,297
116,1948,INDONESIA INDEP. II,210,NTH,275,850,INS,274,1947,7,21,1948,1,17,1,297
118,1947,JUNAGADH,750,IND,277,770,PAK,278,1947,8,17,1947,11,9,0,298
119,1947,KASHMIR I,750,IND,279,770,PAK,280,1947,10,24,1949,1,1,0,299
119,1948,KASHMIR I,750,IND,279,770,PAK,280,1947,10,24,1949,1,1,1,299
119,1949,KASHMIR I,750,IND,279,770,PAK,280,1947,10,24,1949,1,1,1,299
120,1948,PAL. PRT./ISRAEL IND.,645,IRQ,281,666,ISR,286,1947,11,29,1948,7,18,0,300
120,1948,PAL. PRT./ISRAEL IND.,651,EGY,282,666,ISR,286,1947,11,29,1949,2,24,0,301
120,1949,PAL. PRT./ISRAEL IND.,651,EGY,282,666,ISR,286,1947,11,29,1949,2,24,1,301
120,1948,PAL. PRT./ISRAEL IND.,652,SYR,285,666,ISR,286,1947,11,29,1949,7,20,0,302
120,1949,PAL. PRT./ISRAEL IND.,652,SYR,285,666,ISR,286,1947,11,29,1949,7,20,1,302
120,1948,PAL. PRT./ISRAEL IND.,660,LEB,283,666,ISR,286,1947,11,29,1949,3,23,0,303
120,1949,PAL. PRT./ISRAEL IND.,660,LEB,283,666,ISR,286,1947,11,29,1949,3,23,1,303
120,1948,PAL. PRT./ISRAEL IND.,663,JOR,284,666,ISR,286,1947,11,29,1949,4,3,0,304
120,1949,PAL. PRT./ISRAEL IND.,663,JOR,284,666,ISR,286,1947,11,29,1949,4,3,1,304
121,1948,COMMUNISM IN CZECH.,315,CZE,288,365,USR,287,1948,2,13,1948,2,25,0,305
122,1948,SOVIET NOTE/FINLAND I,365,USR,9999,375,FIN,289,1948,2,22,1948,4,6,0,306
123,1948,BERLIN BLOCKADE,2,USA,293,365,USR,290,1948,6,7,1949,5,12,0,307
123,1949,BERLIN BLOCKADE,2,USA,293,365,USR,290,1948,6,7,1949,5,12,1,307
123,1948,BERLIN BLOCKADE,200,UNK,292,365,USR,290,1948,6,7,1949,5,12,0,308
123,1949,BERLIN BLOCKADE,200,UNK,292,365,USR,290,1948,6,7,1949,5,12,1,308
123,1948,BERLIN BLOCKADE,220,FRN,291,365,USR,290,1948,6,7,1949,5,12,0,309
123,1949,BERLIN BLOCKADE,220,FRN,291,365,USR,290,1948,6,7,1949,5,12,1,309
126,1948,COSTA RICA/NIC. I,93,NIC,9999,94,COS,297,1948,12,11,1949,2,21,0,310
126,1949,COSTA RICA/NIC. I,93,NIC,9999,94,COS,297,1948,12,11,1949,2,21,1,310
127,1948,INDONESIA INDEP. III,210,NTH,299,850,INS,298,1948,12,19,1949,12,27,0,311
127,1949,INDONESIA INDEP. III,210,NTH,299,850,INS,298,1948,12,19,1949,12,27,1,311
128,1948,SINAI INCURSION,200,UNK,301,666,ISR,302,1948,12,25,1949,1,10,0,312
128,1949,SINAI INCURSION,200,UNK,301,666,ISR,302,1948,12,25,1949,1,10,1,312
128,1948,SINAI INCURSION,651,EGY,300,666,ISR,302,1948,12,25,1949,1,10,0,313
128,1949,SINAI INCURSION,651,EGY,300,666,ISR,302,1948,12,25,1949,1,10,1,313
129,1949,PUSHTUNISTAN I,700,AFG,303,770,PAK,9999,1949,3,20,1949,7,31,0,314
129,1950,PUSHTUNISTAN I,700,AFG,9999,770,PAK,304,1950,9,30,1950,10,5,0,315
131,1949,SOVIET BLOC-YUGOSLAVIA,345,YUG,306,365,USR,9999,1949,8,19,1951,11,30,0,316
131,1950,SOVIET BLOC-YUGOSLAVIA,345,YUG,306,365,USR,9999,1949,8,19,1951,11,30,1,316
131,1951,SOVIET BLOC-YUGOSLAVIA,345,YUG,306,365,USR,9999,1949,8,19,1951,11,30,1,316
132,1950,KOREAN WAR I,2,USA,308,710,CHN,309,1950,6,25,1950,7,31,0,317
132,1950,KOREAN WAR I,2,USA,308,731,KON,9999,1950,6,25,1950,9,29,0,318
132,1950,KOREAN WAR I,20,CAN,9999,710,CHN,309,1950,6,27,1950,7,31,0,319
132,1950,KOREAN WAR I,100,COL,9999,710,CHN,309,1950,6,27,1950,7,31,0,320
132,1950,KOREAN WAR I,200,UNK,9999,710,CHN,309,1950,6,27,1950,7,31,0,321
132,1950,KOREAN WAR I,210,NTH,9999,710,CHN,309,1950,6,27,1950,7,31,0,322
132,1950,KOREAN WAR I,211,BEL,9999,710,CHN,309,1950,6,27,1950,7,31,0,323
132,1950,KOREAN WAR I,220,FRN,9999,710,CHN,309,1950,6,27,1950,7,31,0,324
132,1950,KOREAN WAR I,350,GRC,9999,710,CHN,309,1950,6,27,1950,7,31,0,325
132,1950,KOREAN WAR I,530,ETH,9999,710,CHN,309,1950,6,27,1950,7,31,0,326
132,1950,KOREAN WAR I,640,TUR,9999,710,CHN,309,1950,6,27,1950,7,31,0,327
132,1950,KOREAN WAR I,710,CHN,309,713,TAW,310,1950,6,27,1950,7,31,0,328
132,1950,KOREAN WAR I,710,CHN,309,800,THI,9999,1950,6,27,1950,7,31,0,329
132,1950,KOREAN WAR I,710,CHN,309,840,PHI,9999,1950,6,27,1950,7,31,0,330
132,1950,KOREAN WAR I,710,CHN,309,900,AUL,9999,1950,6,27,1950,7,31,0,331
132,1950,KOREAN WAR I,710,CHN,309,920,NEW,9999,1950,6,27,1950,7,31,0,332
132,1950,KOREAN WAR I,731,KON,9999,732,KOS,307,1950,6,25,1950,9,29,0,333
133,1950,KOREAN WAR II,2,USA,314,365,USR,313,1950,10,7,1950,12,26,0,334
133,1950,KOREAN WAR II,2,USA,314,710,CHN,312,1950,10,1,1951,7,10,0,335
133,1951,KOREAN WAR II,2,USA,314,710,CHN,312,1950,10,1,1951,7,10,1,335
133,1950,KOREAN WAR II,2,USA,314,731,KON,311,1950,9,30,1951,7,10,0,336
133,1951,KOREAN WAR II,2,USA,314,731,KON,311,1950,9,30,1951,7,10,1,336
133,1950,KOREAN WAR II,20,CAN,9999,710,CHN,312,1950,10,1,1951,7,10,0,337
133,1951,KOREAN WAR II,20,CAN,9999,710,CHN,312,1950,10,1,1951,7,10,1,337
133,1950,KOREAN WAR II,20,CAN,9999,731,KON,311,1950,9,30,1951,7,10,0,338
133,1951,KOREAN WAR II,20,CAN,9999,731,KON,311,1950,9,30,1951,7,10,1,338
133,1950,KOREAN WAR II,100,COL,9999,710,CHN,312,1950,10,1,1951,7,10,0,339
133,1951,KOREAN WAR II,100,COL,9999,710,CHN,312,1950,10,1,1951,7,10,1,339
133,1950,KOREAN WAR II,100,COL,9999,731,KON,311,1950,9,30,1951,7,10,0,340
133,1951,KOREAN WAR II,100,COL,9999,731,KON,311,1950,9,30,1951,7,10,1,340
133,1950,KOREAN WAR II,200,UNK,9999,710,CHN,312,1950,10,1,1951,7,10,0,341
133,1951,KOREAN WAR II,200,UNK,9999,710,CHN,312,1950,10,1,1951,7,10,1,341
133,1950,KOREAN WAR II,200,UNK,9999,731,KON,311,1950,9,30,1951,7,10,0,342
133,1951,KOREAN WAR II,200,UNK,9999,731,KON,311,1950,9,30,1951,7,10,1,342
133,1950,KOREAN WAR II,210,NTH,9999,710,CHN,312,1950,10,1,1951,7,10,0,343
133,1951,KOREAN WAR II,210,NTH,9999,710,CHN,312,1950,10,1,1951,7,10,1,343
133,1950,KOREAN WAR II,210,NTH,9999,731,KON,311,1950,9,30,1951,7,10,0,344
133,1951,KOREAN WAR II,210,NTH,9999,731,KON,311,1950,9,30,1951,7,10,1,344
133,1950,KOREAN WAR II,211,BEL,9999,710,CHN,312,1950,10,1,1951,7,10,0,345
133,1951,KOREAN WAR II,211,BEL,9999,710,CHN,312,1950,10,1,1951,7,10,1,345
133,1950,KOREAN WAR II,211,BEL,9999,731,KON,311,1950,9,30,1951,7,10,0,346
133,1951,KOREAN WAR II,211,BEL,9999,731,KON,311,1950,9,30,1951,7,10,1,346
133,1950,KOREAN WAR II,220,FRN,9999,710,CHN,312,1950,10,1,1951,7,10,0,347
133,1951,KOREAN WAR II,220,FRN,9999,710,CHN,312,1950,10,1,1951,7,10,1,347
133,1950,KOREAN WAR II,220,FRN,9999,731,KON,311,1950,9,30,1951,7,10,0,348
133,1951,KOREAN WAR II,220,FRN,9999,731,KON,311,1950,9,30,1951,7,10,1,348
133,1950,KOREAN WAR II,350,GRC,9999,710,CHN,312,1950,10,1,1951,7,10,0,349
133,1951,KOREAN WAR II,350,GRC,9999,710,CHN,312,1950,10,1,1951,7,10,1,349
133,1950,KOREAN WAR II,350,GRC,9999,731,KON,311,1950,9,30,1951,7,10,0,350
133,1951,KOREAN WAR II,350,GRC,9999,731,KON,311,1950,9,30,1951,7,10,1,350
133,1950,KOREAN WAR II,530,ETH,9999,710,CHN,312,1950,10,1,1951,7,10,0,351
133,1951,KOREAN WAR II,530,ETH,9999,710,CHN,312,1950,10,1,1951,7,10,1,351
133,1950,KOREAN WAR II,530,ETH,9999,731,KON,311,1950,9,30,1951,7,10,0,352
133,1951,KOREAN WAR II,530,ETH,9999,731,KON,311,1950,9,30,1951,7,10,1,352
133,1950,KOREAN WAR II,640,TUR,9999,710,CHN,312,1950,10,1,1951,7,10,0,353
133,1951,KOREAN WAR II,640,TUR,9999,710,CHN,312,1950,10,1,1951,7,10,1,353
133,1950,KOREAN WAR II,640,TUR,9999,731,KON,311,1950,9,30,1951,7,10,0,354
133,1951,KOREAN WAR II,640,TUR,9999,731,KON,311,1950,9,30,1951,7,10,1,354
133,1950,KOREAN WAR II,710,CHN,312,732,KOS,315,1950,10,1,1951,7,10,0,355
133,1951,KOREAN WAR II,710,CHN,312,732,KOS,315,1950,10,1,1951,7,10,1,355
133,1950,KOREAN WAR II,710,CHN,312,800,THI,9999,1950,10,1,1951,7,10,0,356
133,1951,KOREAN WAR II,710,CHN,312,800,THI,9999,1950,10,1,1951,7,10,1,356
133,1950,KOREAN WAR II,710,CHN,312,840,PHI,9999,1950,10,1,1951,7,10,0,357
133,1951,KOREAN WAR II,710,CHN,312,840,PHI,9999,1950,10,1,1951,7,10,1,357
133,1950,KOREAN WAR II,710,CHN,312,900,AUL,9999,1950,10,1,1951,7,10,0,358
133,1951,KOREAN WAR II,710,CHN,312,900,AUL,9999,1950,10,1,1951,7,10,1,358
133,1950,KOREAN WAR II,710,CHN,312,920,NEW,9999,1950,10,1,1951,7,10,0,359
133,1951,KOREAN WAR II,710,CHN,312,920,NEW,9999,1950,10,1,1951,7,10,1,359
133,1950,KOREAN WAR II,731,KON,311,732,KOS,315,1950,9,30,1951,7,10,0,360
133,1951,KOREAN WAR II,731,KON,311,732,KOS,315,1950,9,30,1951,7,10,1,360
133,1950,KOREAN WAR II,731,KON,311,800,THI,9999,1950,9,30,1951,7,10,0,361
133,1951,KOREAN WAR II,731,KON,311,800,THI,9999,1950,9,30,1951,7,10,1,361
133,1950,KOREAN WAR II,731,KON,311,840,PHI,9999,1950,9,30,1951,7,10,0,362
133,1951,KOREAN WAR II,731,KON,311,840,PHI,9999,1950,9,30,1951,7,10,1,362
133,1950,KOREAN WAR II,731,KON,311,900,AUL,9999,1950,9,30,1951,7,10,0,363
133,1951,KOREAN WAR II,731,KON,311,900,AUL,9999,1950,9,30,1951,7,10,1,363
133,1950,KOREAN WAR II,731,KON,311,920,NEW,9999,1950,9,30,1951,7,10,0,364
133,1951,KOREAN WAR II,731,KON,311,920,NEW,9999,1950,9,30,1951,7,10,1,364
134,1951,HULA DRAINAGE,652,SYR,316,666,ISR,317,1951,2,12,1951,5,15,0,365
135,1951,PUNJAB WAR SCARE I,750,IND,318,770,PAK,319,1951,7,7,1951,8,31,0,366
136,1951,SUEZ CANAL,200,UNK,321,651,EGY,320,1951,7,30,1952,1,27,0,367
136,1952,SUEZ CANAL,200,UNK,321,651,EGY,320,1951,7,30,1952,1,27,1,367
137,1952,CATALINA AFFAIR,365,USR,9999,380,SWD,322,1952,6,16,1952,7,31,0,368
138,1953,BURMA INFILTRATION,713,TAW,9999,775,BUR,323,1953,2,8,1954,10,15,0,369
138,1954,BURMA INFILTRATION,713,TAW,9999,775,BUR,323,1953,2,8,1954,10,15,1,369
140,1953,KOREAN WAR III,2,USA,326,710,CHN,327,1953,4,16,1953,7,27,0,370
140,1953,KOREAN WAR III,2,USA,326,731,KON,328,1953,4,16,1953,7,27,0,371
140,1953,KOREAN WAR III,20,CAN,9999,710,CHN,327,1953,5,22,1953,7,27,0,372
140,1953,KOREAN WAR III,20,CAN,9999,731,KON,328,1953,5,22,1953,7,27,0,373
140,1953,KOREAN WAR III,100,COL,9999,710,CHN,327,1953,5,22,1953,7,27,0,374
140,1953,KOREAN WAR III,100,COL,9999,731,KON,328,1953,5,22,1953,7,27,0,375
140,1953,KOREAN WAR III,200,UNK,9999,710,CHN,327,1953,5,22,1953,7,27,0,376
140,1953,KOREAN WAR III,200,UNK,9999,731,KON,328,1953,5,22,1953,7,27,0,377
140,1953,KOREAN WAR III,210,NTH,9999,710,CHN,327,1953,5,22,1953,7,27,0,378
140,1953,KOREAN WAR III,210,NTH,9999,731,KON,328,1953,5,22,1953,7,27,0,379
140,1953,KOREAN WAR III,211,BEL,9999,710,CHN,327,1953,5,22,1953,7,27,0,380
140,1953,KOREAN WAR III,211,BEL,9999,731,KON,328,1953,5,22,1953,7,27,0,381
140,1953,KOREAN WAR III,220,FRN,9999,710,CHN,327,1953,5,22,1953,7,27,0,382
140,1953,KOREAN WAR III,220,FRN,9999,731,KON,328,1953,5,22,1953,7,27,0,383
140,1953,KOREAN WAR III,350,GRC,9999,710,CHN,327,1953,5,22,1953,7,27,0,384
140,1953,KOREAN WAR III,350,GRC,9999,731,KON,328,1953,5,22,1953,7,27,0,385
140,1953,KOREAN WAR III,530,ETH,9999,710,CHN,327,1953,5,22,1953,7,27,0,386
